DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
27Q302,"Queens High School for Information, Research, and",494,37,7.5%,13,s,s,17
27Q306,New York City Academy for Discovery,403,13,3.2%,s,s,s,8
27Q308,Robert H. Goddard High School of Communication Art,640,12,1.9%,s,s,s,8
27Q309,Academy of Medical Technology: A College Board Sch,660,63,9.5%,15,9,6,45
27Q314,Epic High School - South,398,11,2.8%,s,s,s,s
27Q316,Queens Explorers Elementary School,404,7,1.7%,s,s,s,s
27Q317,Waterside Children's Studio School,536,36,6.7%,10,s,s,24
27Q318,Waterside School For Leadership,241,21,8.7%,8,s,s,13
27Q319,Village Academy,406,42,10.3%,17,s,s,17
27Q324,Rockaway Park High School for Environmental Sustai,312,30,9.6%,12,s,s,14
27Q334,Epic High School - North,423,26,6.1%,s,s,s,18
27Q336,Curious Young Learners Pre-K Center,415,11,2.7%,s,s,s,8
27Q351,Rockaway Collegiate High School,320,27,8.4%,11,s,s,13
27Q362,Wave Preparatory Elementary School,587,105,17.9%,35,28,7,67
27Q377,P.S. 377,296,18,6.1%,13,s,s,s
27Q400,August Martin High School,312,29,9.3%,15,7,8,13
27Q444,Home Schooling,376,12,3.2%,7,s,s,s
27Q475,Richmond Hill High School,1667,105,6.3%,15,s,s,62
27Q480,John Adams High School,2469,226,9.2%,41,31,10,183
27Q487,John Adams Yabc,260,30,11.5%,8,s,s,16
