modzcta,BOROUGH_GROUP,modzcta_name,label,lat,lon,positive_count_7day,positivity_rate_7day,people_tested,daterange,death_count_28day,death_rate_28day,daterange,cumulative_positive_count,cumulative_death_count,cumulative_positive_rate,TOTAL_COVID_TESTS
11418,Queens,Richmond Hill,11418,40.700236,-73.836062,37,3.9,949,February 5-February 11,14,37.2,January 4-January 31,10384,162,25.9,34301
11419,Queens,Richmond Hill/South Ozone Park,11419,40.688676,-73.822901,49,3.93,1246,February 5-February 11,15,30.9,January 4-January 31,13232,220,25.63,43703
11420,Queens,South Ozone Park,11420,40.673518,-73.817812,24,2.13,1129,February 5-February 11,16,33.4,January 4-January 31,12918,215,25.55,42580
11421,Queens,Woodhaven,11421,40.69405,-73.85867,33,3.02,1091,February 5-February 11,13,32.5,January 4-January 31,12638,200,28.83,38035
11422,Queens,Rosedale,11422,40.660819,-73.73608,14,1.79,781,February 5-February 11,10,30.9,January 4-January 31,8030,131,24.51,27215
11423,Queens,Hollis/Holliswood,11423,40.71491,-73.767865,18,2,898,February 5-February 11,16,51.4,January 4-January 31,8299,211,22.98,30078
11426,Queens,Bellerose,11426,40.736521,-73.722384,25,4.86,514,February 5-February 11,0,0,January 4-January 31,4812,67,24.16,16264
11427,Queens,Bellerose/Hollis Hills/Holliswood,11427,40.730915,-73.745611,14,2.41,582,February 5-February 11,10,42.4,January 4-January 31,5863,93,23.44,21276
11428,Queens,Queens Village,11428,40.721015,-73.742206,17,3.28,518,February 5-February 11,5,26.9,January 4-January 31,5190,103,23.56,17727
11429,Queens,Queens Village,11429,40.709772,-73.738731,13,1.74,746,February 5-February 11,8,28.8,January 4-January 31,7450,143,23.05,26311
11432,Queens,Hillcrest/Jamaica Estates/Jamaica Hills,11432,40.715359,-73.793064,50,2.89,1730,February 5-February 11,23,37.9,January 4-January 31,15656,433,22.13,59302
11433,Queens,Jamaica,11433,40.69823,-73.787095,22,2.11,1043,February 5-February 11,13,35.6,January 4-January 31,9675,189,23.52,33872
11434,Queens,Airport/South Jamaica/Springfield Gardens/St. Albans,11434,40.656866,-73.783386,43,2.29,1874,February 5-February 11,22,33,January 4-January 31,16498,366,22.86,59981
11435,Queens,Briarwood/Jamaica,11435,40.701291,-73.809618,47,3.02,1555,February 5-February 11,23,39.4,January 4-January 31,14681,288,23.32,50489
11436,Queens,South Jamaica/South Ozone Park,11436,40.675819,-73.796618,13,2.47,526,February 5-February 11,6,29.9,January 4-January 31,5183,86,23.91,18045
11691,Queens,Edgemere/Far Rockaway,11691,40.60133,-73.761357,38,2.54,1494,February 5-February 11,45,67.3,January 4-January 31,18959,606,26.16,64731
11692,Queens,Arverne/Edgemere,11692,40.592794,-73.792203,14,2.6,538,February 5-February 11,10,47.6,January 4-January 31,4961,152,23.97,18141
11693,Queens,Arverne/Broad Channel,11693,40.603699,-73.821926,8,2.99,268,February 5-February 11,7,55.2,January 4-January 31,3172,61,26.57,9989
