SITE ID,STATUS,PPT ID,ADDRESS,BOROUGH,LATITUDE,LONGITUDE,WIFI STATUS,TABLET STATUS,PHONE STATUS,CROSS STREET 1,CROSS STREET 2,CORNER LOCATION,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,NTA,BBL,BIN,LOCATION,POSTCODE,PPT ID
bk-03-126647,Live,126647,1961 FULTON STREET,Brooklyn,40.678654,-73.916507,up,up,up,SARATOGA AVENUE,HULL STREET,NW,303,41,3037900,Stuyvesant Heights,3015360001,3041785,"(40.678654, -73.916507)",11233,126647
bk-03-127093,Live,127093,1805 FULTON STREET,Brooklyn,40.679143,-73.925474,up,up,up,PATCHEN AVENUE,SUMPTER STREET,NW,303,36,3038100,Crown Heights North,3016970001,3047942,"(40.679143, -73.925474)",11233,127093
bk-03-145739,Live,145739,1245 FULTON STREET,Brooklyn,40.680556,-73.951381,up,up,up,ARLINGTON PLACE,BEDFORD AVENUE,NW,303,36,3024500,Bedford,3018420047,3399847,"(40.680556, -73.951381)",11216,145739
bk-03-145748,Live,145748,549 CLASSON AVENUE,Brooklyn,40.681853,-73.958535,up,up,up,FULTON STREET,PUTNAM AVENUE,NE,303,35,3022700,Clinton Hill,3019940058,3057307,"(40.681853, -73.958535)",11238,145748
bk-03-145749,Live,145749,1628 FULTON STREET,Brooklyn,40.67956068,-73.93549973,up,up,up,BAINBRIDGE STREET,LEWIS AVENUE,SW,303,36,3027100,Crown Heights North,3016990041,3000000,"(40.67956068, -73.93549973)",11213,145749
bk-03-145750,Live,145750,560 FRANKLIN AVENUE,Brooklyn,40.679506,-73.955431,up,up,up,ATLANTIC AVENUE,BREVOORT PLACE,NW,303,36,3022700,Clinton Hill,3020200058,3057888,"(40.679506, -73.955431)",11238,145750
bk-03-145756,Live,145756,1407 FULTON STREET,Brooklyn,40.68019738,-73.94490293,up,up,up,MARCY AVENUE,BROOKLYN AVENUE,MIDBLOCK,303,36,3026900,Bedford,3018540057,3338749,"(40.68019738, -73.94490293)",11216,145756
bk-03-145757,Live,145757,1473 FULTON STREET,Brooklyn,40.680059,-73.94226,up,up,up,TOMPKINS AVENUE,KINGSTON AVENUE,NE,303,36,3026900,Bedford,3018570024,3338750,"(40.680059, -73.94226)",11216,145757
bk-03-145759,Live,145759,1546 FULTON STREET,Brooklyn,40.67975193,-73.93910101,up,up,up,ALBANY AVENUE,THROOP AVENUE,MIDBLOCK,303,36,3027100,Crown Heights North,3018640029,3053854,"(40.67975193, -73.93910101)",11213,145759
bk-03-145760,Live,145760,1591 FULTON STREET,Brooklyn,40.67981536,-73.937627,up,up,up,MARCUS GARVEY BOULEVARD,ALBANY AVENUE,NW,303,36,3027300,Stuyvesant Heights,3018590033,3053698,"(40.67981536, -73.937627)",11216,145760
bk-03-145784,Live,145784,1139 FULTON STREET,Brooklyn,40.68131525,-73.95620126,up,up,up,FRANKLIN AVENUE,CLAVER PLACE,NE,303,35,3022700,Clinton Hill,3019970046,3057391,"(40.68131525, -73.95620126)",11238,145784
bk-03-145796,Live,145796,540 FRANKLIN AVENUE,Brooklyn,40.68095126,-73.95570356,up,up,up,FULTON STREET,LEFFERTS PLACE,NW,303,36,3022700,Clinton Hill,3020160042,3339279,"(40.68095126, -73.95570356)",11238,145796
bk-03-145808,Live,145808,1422 FULTON STREET,Brooklyn,40.680015,-73.943843,up,up,up,BROOKLYN AVENUE,TOMPKINS AVENUE,SE,303,36,3027100,Crown Heights North,3018630007,3251519,"(40.680015, -73.943843)",11216,145808
bk-03-145815,Live,145815,1373 FULTON STREET,Brooklyn,40.68027266,-73.94615493,up,up,up,MARCY AVENUE,BROOKLYN AVENUE,NE,303,36,3026900,Bedford,3018540001,3332255,"(40.68027266, -73.94615493)",11216,145815
bk-03-145816,Live,145816,1741 FULTON STREET,Brooklyn,40.679381,-73.929834,up,up,up,UTICA AVENUE,STUYVESANT AVENUE,NW,303,36,3029700,Crown Heights North,3016910012,3325182,"(40.679381, -73.929834)",11233,145816
bk-03-145817,Live,145817,293 RALPH AVENUE,Brooklyn,40.679015,-73.921802,up,up,up,MACDOUGAL STREET,SUMPTER STREET,NE,303,41,3037900,Stuyvesant Heights,3015240001,3041421,"(40.679015, -73.921802)",11233,145817
bk-03-145830,Live,145830,517 NOSTRAND AVENUE,Brooklyn,40.67948543,-73.9495225,up,up,up,HERKIMER STREET,HERKIMER PLACE,SE,303,36,3024700,Crown Heights North,3018670018,3000000,"(40.67948543, -73.9495225)",11216,145830
bk-03-145837,Live,145837,505 NOSTRAND AVENUE,Brooklyn,40.679987,-73.949473,up,up,up,FULTON STREET,HERKIMER STREET,MIDBLOCK,303,36,3024700,Crown Heights North,3018610001,3053750,"(40.679987, -73.949473)",11216,145837
bk-03-145843,Live,145843,545 NOSTRAND AVENUE,Brooklyn,40.678818,-73.949579,up,up,up,HERKIMER PLACE,ATLANTIC AVENUE,NE,303,36,3024700,Crown Heights North,3018670005,3329718,"(40.678818, -73.949579)",11216,145843
bk-04-103731,Live,103731,849 BROADWAY,Brooklyn,40.69887623,-73.93844701,up,up,up,PARK AVENUE,LOCUST STREET,MIDBLOCK,304,34,3038900,Bushwick South,3031340004,3071735,"(40.69887623, -73.93844701)",11206,103731
bk-05-114742,Live,114742,3418 FULTON STREET,Brooklyn,40.684317,-73.869636,up,up,up,LINCOLN AVENUE,AUTUMN AVENUE,SE,305,37,3118400,Cypress Hills-City Line,3041490028,3092916,"(40.684317, -73.869636)",11208,114742
